value,source,target
3.351583,"Non-venomous animal contact","Fracture of skull"
27.77383,"Non-venomous animal contact","Internal hemorrhage in abdomen or pelvis"
.8348299,"Non-venomous animal contact","Burns with <20% total burned surface area"
2.32653,"Non-venomous animal contact","Fracture of pelvis"
2.057665,"Non-venomous animal contact","Crush injury"
4.729199,"Non-venomous animal contact","Fracture of foot bone"
1.00447,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus"
2.436069,"Non-venomous animal contact","Fracture of radius or ulna"
5.514708,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
1552.036,"Non-venomous animal contact","Open wound"
5.552975,"Non-venomous animal contact","Injured nerves"
44.73508,"Non-venomous animal contact","Poisoning"
2.094086,"Non-venomous animal contact","Dislocation of knee"
5.564148,"Non-venomous animal contact","Minor traumatic brain injury"
.1828594,"Non-venomous animal contact","Spinal cord lesion below neck level"
8.125607,"Non-venomous animal contact","Dislocation of shoulder"
.0479352,"Non-venomous animal contact","Amputation of finger (excluding thumb)"
14.05062,"Non-venomous animal contact","Injury to eyes (including foreign body eye)"
15.10298,"Non-venomous animal contact","Complications of medical treatment"
14.47388,"Non-venomous animal contact","Moderate to severe traumatic brain injury"
.2562067,"Non-venomous animal contact","Fracture of sternum or rib(s)"
1.039121,"Non-venomous animal contact","Spinal cord lesion at neck level"
1.538216,"Non-venomous animal contact","Dislocation of hip"
.6839256,"Non-venomous animal contact","Severe chest Injury"
12.25207,"Non-venomous animal contact","Fracture of femur, other than femoral neck"
8.951833,"Non-venomous animal contact","Fracture of neck of femur"
.7584326,"Non-venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)"
50.08616,"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
18.75392,"Non-venomous animal contact","Contusion"
6.873986,"Non-venomous animal contact","Fracture of vertebral column"
10.31362,"Non-venomous animal contact","Fracture of hand bone"
.0657382,"Non-venomous animal contact","Non-fatal submersion"
.8984128,"Non-venomous animal contact","Fracture of face bone"
27.87307,"Non-venomous animal contact","Multiple significant injuries"
1.825863,"Non-venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
1.315064,"Venomous animal contact","Fracture of radius or ulna"
795.8873,"Venomous animal contact","Poisoning"
.8564019,"Venomous animal contact","Fracture of vertebral column"
1.330816,"Venomous animal contact","Fracture of foot bone"
.7798998,"Venomous animal contact","Fracture of clavicle, scapula, or humerus"
6.461749,"Venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
38.89644,"Venomous animal contact","Multiple significant injuries"
4.182791,"Venomous animal contact","Moderate to severe traumatic brain injury"
33.92658,"Venomous animal contact","Internal hemorrhage in abdomen or pelvis"
2.545482,"Venomous animal contact","Burns with <20% total burned surface area"
1.630611,"Venomous animal contact","Minor traumatic brain injury"
1.187597,"Venomous animal contact","Spinal cord lesion at neck level"
11.42881,"Venomous animal contact","Fracture of neck of femur"
3.211662,"Venomous animal contact","Fracture of femur, other than femoral neck"
1.006589,"Venomous animal contact","Spinal cord lesion below neck level"
.0000519,"Venomous animal contact","Amputation of finger (excluding thumb)"
.2690159,"Venomous animal contact","Severe chest Injury"
16.5145,"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
1.689038,"Venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)"
46.95461,"Venomous animal contact","Open wound"
.4815542,"Venomous animal contact","Injury to eyes (including foreign body eye)"
6.744879,"Venomous animal contact","Dislocation of shoulder"
3.022175,"Venomous animal contact","Fracture of hand bone"
5.258598,"Venomous animal contact","Fracture of pelvis"
.7167377,"Venomous animal contact","Fracture of skull"
.0049502,"Venomous animal contact","Fracture of sternum or rib(s)"
.1706728,"Venomous animal contact","Dislocation of knee"
.4557532,"Venomous animal contact","Crush injury"
.4203377,"Venomous animal contact","Dislocation of hip"
2.172511,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
.1798699,"Venomous animal contact","Non-fatal submersion"
43.99487,"Venomous animal contact","Complications of medical treatment"
1.285311,"Venomous animal contact","Injured nerves"
.2269877,"Venomous animal contact","Fracture of face bone"
.9885176,"Venomous animal contact","Contusion"
8.522822,"Drowning","Fracture of foot bone"
3.143526,"Drowning","Minor traumatic brain injury"
11.46479,"Drowning","Poisoning"
26.55974,"Drowning","Multiple significant injuries"
90.10938,"Drowning","Environmental factors (e.g. temperature, pressure, electricity)"
7.105815,"Drowning","Internal hemorrhage in abdomen or pelvis"
.4367817,"Drowning","Injury to eyes (including foreign body eye)"
.4486616,"Drowning","Fracture of face bone"
8.608932,"Drowning","Fracture of pelvis"
.9965719,"Drowning","Crush injury"
2.09306,"Drowning","Dislocation of hip"
24.05415,"Drowning","Fracture of femur, other than femoral neck"
71.83125,"Drowning","Fracture of patella, tibia, fibula, or ankle"
2.180316,"Drowning","Fracture of radius or ulna"
77.08919,"Drowning","Non-fatal submersion"
3.747783,"Drowning","Fracture of hand bone"
14.66201,"Drowning","Moderate to severe traumatic brain injury"
6.425457,"Drowning","Injured nerves"
.0051774,"Drowning","Amputation of finger (excluding thumb)"
9.942803,"Drowning","Spinal cord lesion at neck level"
.0641469,"Drowning","Fracture of sternum or rib(s)"
2.706893,"Drowning","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
7.007248,"Drowning","Open wound"
3.939194,"Drowning","Fracture of clavicle, scapula, or humerus"
7.728841,"Drowning","Other injuries of muscle & tendon and other dislocations"
8.663055,"Drowning","Spinal cord lesion below neck level"
.8220917,"Drowning","Dislocation of knee"
.9856437,"Drowning","Contusion"
.2711289,"Drowning","Severe chest Injury"
3.331481,"Drowning","Burns with <20% total burned surface area"
218.5012,"Drowning","Fracture of neck of femur"
64.37064,"Drowning","Complications of medical treatment"
18.77634,"Drowning","Dislocation of shoulder"
.0690835,"Drowning","Fracture of skull"
3.597727,"Drowning","Fracture of vertebral column"
129.3314,"Falls","Dislocation of shoulder"
17.27934,"Falls","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
136.9032,"Falls","Spinal cord lesion below neck level"
7.242377,"Falls","Fracture of sternum or rib(s)"
56.50513,"Falls","Injured nerves"
103.2622,"Falls","Other injuries of muscle & tendon and other dislocations"
9.525475,"Falls","Injury to eyes (including foreign body eye)"
16.07174,"Falls","Crush injury"
106.012,"Falls","Fracture of skull"
1.138944,"Falls","Non-fatal submersion"
15.40434,"Falls","Severe chest Injury"
439.3944,"Falls","Fracture of radius or ulna"
104.1408,"Falls","Fracture of pelvis"
71.01517,"Falls","Fracture of clavicle, scapula, or humerus"
534.3802,"Falls","Moderate to severe traumatic brain injury"
23.77661,"Falls","Dislocation of hip"
6.566642,"Falls","Environmental factors (e.g. temperature, pressure, electricity)"
313.5067,"Falls","Complications of medical treatment"
2000.252,"Falls","Fracture of patella, tibia, fibula, or ankle"
79.17046,"Falls","Minor traumatic brain injury"
856.9064,"Falls","Multiple significant injuries"
77.07242,"Falls","Internal hemorrhage in abdomen or pelvis"
394.6918,"Falls","Fracture of femur, other than femoral neck"
12.12989,"Falls","Burns with <20% total burned surface area"
689.5754,"Falls","Open wound"
127.5556,"Falls","Fracture of hand bone"
27.09973,"Falls","Poisoning"
10.82844,"Falls","Dislocation of knee"
88.11772,"Falls","Fracture of foot bone"
1249.506,"Falls","Fracture of neck of femur"
118.7977,"Falls","Spinal cord lesion at neck level"
474.7159,"Falls","Fracture of vertebral column"
.0469956,"Falls","Amputation of finger (excluding thumb)"
162.0007,"Falls","Contusion"
7.046542,"Falls","Fracture of face bone"
105.2441,"Fire, heat, and hot substances","Fracture of patella, tibia, fibula, or ankle"
19.01156,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
6.600192,"Fire, heat, and hot substances","Fracture of radius or ulna"
45.93248,"Fire, heat, and hot substances","Dislocation of shoulder"
5.842429,"Fire, heat, and hot substances","Crush injury"
492.9303,"Fire, heat, and hot substances","Internal hemorrhage in abdomen or pelvis"
3.178596,"Fire, heat, and hot substances","Fracture of skull"
1388.587,"Fire, heat, and hot substances","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
4.855927,"Fire, heat, and hot substances","Spinal cord lesion below neck level"
1.491597,"Fire, heat, and hot substances","Severe chest Injury"
10.10549,"Fire, heat, and hot substances","Injured nerves"
15.50023,"Fire, heat, and hot substances","Contusion"
87.90122,"Fire, heat, and hot substances","Fracture of neck of femur"
.6062939,"Fire, heat, and hot substances","Non-fatal submersion"
6.641182,"Fire, heat, and hot substances","Injury to eyes (including foreign body eye)"
109.4712,"Fire, heat, and hot substances","Open wound"
11.21668,"Fire, heat, and hot substances","Minor traumatic brain injury"
26.74441,"Fire, heat, and hot substances","Fracture of vertebral column"
15.81306,"Fire, heat, and hot substances","Fracture of hand bone"
2.373343,"Fire, heat, and hot substances","Fracture of face bone"
40.14459,"Fire, heat, and hot substances","Moderate to severe traumatic brain injury"
7.926482,"Fire, heat, and hot substances","Spinal cord lesion at neck level"
760.4437,"Fire, heat, and hot substances","Burns with <20% total burned surface area"
266.9315,"Fire, heat, and hot substances","Complications of medical treatment"
