value,source,target,sex,year,id
7342.4,"Adverse effects of medical treatment","Complications of medical treatment","male",2005,"inj_medical1"
13.39835,"Assault by firearm","Fracture of neck of femur","male",2005,"inj_homicide_gun1"
5.06281,"Assault by firearm","Moderate to severe traumatic brain injury","male",2005,"inj_homicide_gun2"
25.54988,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","male",2005,"inj_homicide_gun3"
.1895798,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2005,"inj_homicide_gun4"
.7681878,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","male",2005,"inj_homicide_gun5"
12.23262,"Assault by firearm","Fracture of femur, other than femoral neck","male",2005,"inj_homicide_gun6"
12.86521,"Assault by firearm","Multiple significant injuries","male",2005,"inj_homicide_gun7"
6.488799,"Assault by firearm","Contusion","male",2005,"inj_homicide_gun8"
5.776937,"Assault by firearm","Fracture of pelvis","male",2005,"inj_homicide_gun9"
2.560477,"Assault by firearm","Injured nerves","male",2005,"inj_homicide_gun10"
.2876963,"Assault by firearm","Fracture of face bone","male",2005,"inj_homicide_gun11"
.503917,"Assault by firearm","Fracture of clavicle, scapula, or humerus","male",2005,"inj_homicide_gun12"
7.665353,"Assault by firearm","Fracture of skull","male",2005,"inj_homicide_gun13"
29.72281,"Assault by firearm","Spinal cord lesion below neck level","male",2005,"inj_homicide_gun14"
.3482284,"Assault by firearm","Crush injury","male",2005,"inj_homicide_gun15"
10.28799,"Assault by firearm","Spinal cord lesion at neck level","male",2005,"inj_homicide_gun16"
2.556247,"Assault by firearm","Fracture of foot bone","male",2005,"inj_homicide_gun17"
.0736635,"Assault by firearm","Dislocation of knee","male",2005,"inj_homicide_gun18"
.3961745,"Assault by firearm","Burns with <20% total burned surface area","male",2005,"inj_homicide_gun19"
2.949439,"Assault by firearm","Fracture of hand bone","male",2005,"inj_homicide_gun20"
25.56355,"Assault by firearm","Fracture of vertebral column","male",2005,"inj_homicide_gun21"
1.803641,"Assault by firearm","Severe chest Injury","male",2005,"inj_homicide_gun22"
.1830871,"Assault by firearm","Dislocation of shoulder","male",2005,"inj_homicide_gun23"
.0510001,"Assault by firearm","Dislocation of hip","male",2005,"inj_homicide_gun24"
4.691283,"Assault by firearm","Poisoning","male",2005,"inj_homicide_gun25"
.0887062,"Assault by firearm","Amputation of finger (excluding thumb)","male",2005,"inj_homicide_gun26"
4.365444,"Assault by firearm","Minor traumatic brain injury","male",2005,"inj_homicide_gun27"
6.622668,"Assault by firearm","Complications of medical treatment","male",2005,"inj_homicide_gun28"
.0048293,"Assault by firearm","Non-fatal submersion","male",2005,"inj_homicide_gun29"
.2813555,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","male",2005,"inj_homicide_gun30"
33.87549,"Assault by firearm","Open wound","male",2005,"inj_homicide_gun31"
3.851051,"Assault by firearm","Fracture of radius or ulna","male",2005,"inj_homicide_gun32"
.4555114,"Assault by firearm","Injury to eyes (including foreign body eye)","male",2005,"inj_homicide_gun33"
.0109706,"Assault by firearm","Fracture of sternum or rib(s)","male",2005,"inj_homicide_gun34"
37.39341,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","male",2005,"inj_homicide_gun35"
28.05487,"Assault by other means","Complications of medical treatment","male",2005,"inj_homicide_other1"
86.67179,"Assault by other means","Fracture of patella, tibia, fibula, or ankle","male",2005,"inj_homicide_other2"
63.27537,"Assault by other means","Moderate to severe traumatic brain injury","male",2005,"inj_homicide_other3"
150.9691,"Assault by other means","Open wound","male",2005,"inj_homicide_other4"
52.85477,"Assault by other means","Poisoning","male",2005,"inj_homicide_other5"
14.29171,"Assault by other means","Burns with <20% total burned surface area","male",2005,"inj_homicide_other6"
6.368809,"Assault by other means","Dislocation of shoulder","male",2005,"inj_homicide_other7"
36.05637,"Assault by other means","Fracture of hand bone","male",2005,"inj_homicide_other8"
28.49073,"Assault by other means","Fracture of vertebral column","male",2005,"inj_homicide_other9"
9.396739,"Assault by other means","Fracture of pelvis","male",2005,"inj_homicide_other10"
.1687358,"Assault by other means","Dislocation of knee","male",2005,"inj_homicide_other11"
22.36702,"Assault by other means","Fracture of femur, other than femoral neck","male",2005,"inj_homicide_other12"
24.9743,"Assault by other means","Spinal cord lesion below neck level","male",2005,"inj_homicide_other13"
4.546322,"Assault by other means","Other injuries of muscle & tendon and other dislocations","male",2005,"inj_homicide_other14"
.0855992,"Assault by other means","Amputation of finger (excluding thumb)","male",2005,"inj_homicide_other15"
6.214554,"Assault by other means","Fracture of face bone","male",2005,"inj_homicide_other16"
1.739258,"Assault by other means","Severe chest Injury","male",2005,"inj_homicide_other17"
1.218419,"Assault by other means","Fracture of clavicle, scapula, or humerus","male",2005,"inj_homicide_other18"
17.7851,"Assault by other means","Spinal cord lesion at neck level","male",2005,"inj_homicide_other19"
4.952134,"Assault by other means","Fracture of sternum or rib(s)","male",2005,"inj_homicide_other20"
47.1668,"Assault by other means","Fracture of skull","male",2005,"inj_homicide_other21"
3.193319,"Assault by other means","Injury to eyes (including foreign body eye)","male",2005,"inj_homicide_other22"
136.9037,"Assault by other means","Multiple significant injuries","male",2005,"inj_homicide_other23"
10.47995,"Assault by other means","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2005,"inj_homicide_other24"
35.08821,"Assault by other means","Minor traumatic brain injury","male",2005,"inj_homicide_other25"
.2145463,"Assault by other means","Non-fatal submersion","male",2005,"inj_homicide_other26"
8.09835,"Assault by other means","Fracture of radius or ulna","male",2005,"inj_homicide_other27"
41.5454,"Assault by other means","Contusion","male",2005,"inj_homicide_other28"
1.015296,"Assault by other means","Crush injury","male",2005,"inj_homicide_other29"
54.3243,"Assault by other means","Fracture of neck of femur","male",2005,"inj_homicide_other30"
.9279035,"Assault by other means","Dislocation of hip","male",2005,"inj_homicide_other31"
2.100618,"Assault by other means","Environmental factors (e.g. temperature, pressure, electricity)","male",2005,"inj_homicide_other32"
5.320933,"Assault by other means","Injured nerves","male",2005,"inj_homicide_other33"
3.521769,"Assault by other means","Fracture of foot bone","male",2005,"inj_homicide_other34"
26.46052,"Assault by other means","Internal hemorrhage in abdomen or pelvis","male",2005,"inj_homicide_other35"
4.82935,"Assault by sharp object","Severe chest Injury","male",2005,"inj_homicide_knife1"
2.654062,"Assault by sharp object","Fracture of radius or ulna","male",2005,"inj_homicide_knife2"
2.265344,"Assault by sharp object","Fracture of foot bone","male",2005,"inj_homicide_knife3"
16.05086,"Assault by sharp object","Fracture of patella, tibia, fibula, or ankle","male",2005,"inj_homicide_knife4"
7.184568,"Assault by sharp object","Fracture of hand bone","male",2005,"inj_homicide_knife5"
.415949,"Assault by sharp object","Fracture of face bone","male",2005,"inj_homicide_knife6"
13.40824,"Assault by sharp object","Complications of medical treatment","male",2005,"inj_homicide_knife7"
.3127163,"Assault by sharp object","Fracture of sternum or rib(s)","male",2005,"inj_homicide_knife8"
135.1696,"Assault by sharp object","Open wound","male",2005,"inj_homicide_knife9"
6.958723,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations","male",2005,"inj_homicide_knife10"
.0460488,"Assault by sharp object","Non-fatal submersion","male",2005,"inj_homicide_knife11"
.5238973,"Assault by sharp object","Fracture of clavicle, scapula, or humerus","male",2005,"inj_homicide_knife12"
