value,source,target
12.14699,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
1.46137,"Non-venomous animal contact","Spinal cord lesion below neck level"
1.307366,"Non-venomous animal contact","Fracture of sternum or rib(s)"
23.94557,"Non-venomous animal contact","Fracture of femur, other than femoral neck"
5.987139,"Non-venomous animal contact","Fracture of foot bone"
.8339379,"Non-venomous animal contact","Burns with <20% total burned surface area"
6.562455,"Non-venomous animal contact","Minor traumatic brain injury"
2.532776,"Non-venomous animal contact","Crush injury"
10.53329,"Non-venomous animal contact","Spinal cord lesion at neck level"
15.16955,"Non-venomous animal contact","Fracture of hand bone"
71.96239,"Non-venomous animal contact","Multiple significant injuries"
11.96624,"Non-venomous animal contact","Fracture of neck of femur"
23.59861,"Non-venomous animal contact","Injury to eyes (including foreign body eye)"
9.640123,"Non-venomous animal contact","Injured nerves"
1.461236,"Non-venomous animal contact","Severe chest Injury"
2.549641,"Non-venomous animal contact","Dislocation of knee"
11.18249,"Non-venomous animal contact","Fracture of vertebral column"
1.444522,"Non-venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)"
.3978624,"Non-venomous animal contact","Amputation of finger (excluding thumb)"
67.88004,"Non-venomous animal contact","Poisoning"
30.46717,"Non-venomous animal contact","Contusion"
24.98598,"Non-venomous animal contact","Dislocation of shoulder"
2288.419,"Non-venomous animal contact","Open wound"
40.13467,"Non-venomous animal contact","Moderate to severe traumatic brain injury"
1.750054,"Non-venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
84.44601,"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
1.243492,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus"
3.831113,"Non-venomous animal contact","Fracture of radius or ulna"
46.75343,"Non-venomous animal contact","Internal hemorrhage in abdomen or pelvis"
.1710545,"Non-venomous animal contact","Non-fatal submersion"
2.120584,"Non-venomous animal contact","Fracture of face bone"
6.070419,"Non-venomous animal contact","Fracture of pelvis"
1.039375,"Non-venomous animal contact","Dislocation of hip"
18.11373,"Non-venomous animal contact","Complications of medical treatment"
6.943211,"Non-venomous animal contact","Fracture of skull"
3.517668,"Venomous animal contact","Spinal cord lesion at neck level"
9.960046,"Venomous animal contact","Moderate to severe traumatic brain injury"
1.191675,"Venomous animal contact","Crush injury"
4.284392,"Venomous animal contact","Fracture of pelvis"
69.07893,"Venomous animal contact","Open wound"
1.243479,"Venomous animal contact","Fracture of clavicle, scapula, or humerus"
3.403836,"Venomous animal contact","Burns with <20% total burned surface area"
49.61276,"Venomous animal contact","Complications of medical treatment"
5.715898,"Venomous animal contact","Fracture of femur, other than femoral neck"
28.37584,"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
.4643408,"Venomous animal contact","Fracture of face bone"
.0142848,"Venomous animal contact","Fracture of sternum or rib(s)"
5.163839,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
.3334833,"Venomous animal contact","Dislocation of knee"
1.248432,"Venomous animal contact","Fracture of vertebral column"
10.53546,"Venomous animal contact","Fracture of neck of femur"
3.848562,"Venomous animal contact","Spinal cord lesion below neck level"
.7027197,"Venomous animal contact","Severe chest Injury"
6.636745,"Venomous animal contact","Fracture of hand bone"
1419.041,"Venomous animal contact","Poisoning"
3.960965,"Venomous animal contact","Fracture of foot bone"
2.814926,"Venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)"
4.777787,"Venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
45.87062,"Venomous animal contact","Internal hemorrhage in abdomen or pelvis"
18.4759,"Venomous animal contact","Dislocation of shoulder"
1.001624,"Venomous animal contact","Injury to eyes (including foreign body eye)"
1.419569,"Venomous animal contact","Fracture of skull"
1.178295,"Venomous animal contact","Contusion"
2.419111,"Venomous animal contact","Minor traumatic brain injury"
.5797927,"Venomous animal contact","Dislocation of hip"
1.809496,"Venomous animal contact","Fracture of radius or ulna"
56.99709,"Venomous animal contact","Multiple significant injuries"
.2021369,"Venomous animal contact","Non-fatal submersion"
1.591781,"Venomous animal contact","Injured nerves"
.306225,"Drowning","Fracture of skull"
3.22613,"Drowning","Fracture of radius or ulna"
46.84087,"Drowning","Fracture of femur, other than femoral neck"
14.51109,"Drowning","Other injuries of muscle & tendon and other dislocations"
76.54534,"Drowning","Complications of medical treatment"
1.762406,"Drowning","Contusion"
285.6534,"Drowning","Fracture of neck of femur"
8.919701,"Drowning","Internal hemorrhage in abdomen or pelvis"
114.3588,"Drowning","Fracture of patella, tibia, fibula, or ankle"
22.03998,"Drowning","Fracture of foot bone"
82.43732,"Drowning","Dislocation of shoulder"
13.73262,"Drowning","Open wound"
.5772239,"Drowning","Severe chest Injury"
3.243347,"Drowning","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
.948708,"Drowning","Dislocation of hip"
.9728178,"Drowning","Crush injury"
4.661578,"Drowning","Fracture of clavicle, scapula, or humerus"
3.593337,"Drowning","Burns with <20% total burned surface area"
25.75523,"Drowning","Moderate to severe traumatic brain injury"
1.336991,"Drowning","Dislocation of knee"
.8711412,"Drowning","Injury to eyes (including foreign body eye)"
8.494084,"Drowning","Injured nerves"
177.2987,"Drowning","Environmental factors (e.g. temperature, pressure, electricity)"
111.0385,"Drowning","Non-fatal submersion"
.1586898,"Drowning","Fracture of sternum or rib(s)"
14.73683,"Drowning","Poisoning"
24.1138,"Drowning","Spinal cord lesion below neck level"
.050896,"Drowning","Amputation of finger (excluding thumb)"
5.387727,"Drowning","Minor traumatic brain injury"
9.82246,"Drowning","Fracture of hand bone"
1.114703,"Drowning","Fracture of face bone"
9.317695,"Drowning","Fracture of vertebral column"
58.03073,"Drowning","Spinal cord lesion at neck level"
9.464651,"Drowning","Fracture of pelvis"
31.37853,"Drowning","Multiple significant injuries"
202.162,"Falls","Fracture of pelvis"
285.2631,"Falls","Contusion"
1419.235,"Falls","Fracture of neck of femur"
1768.469,"Falls","Multiple significant injuries"
3.144536,"Falls","Non-fatal submersion"
384.9425,"Falls","Spinal cord lesion at neck level"
109.6337,"Falls","Fracture of clavicle, scapula, or humerus"
493.8708,"Falls","Fracture of radius or ulna"
47.8056,"Falls","Poisoning"
879.8784,"Falls","Fracture of vertebral column"
273.9912,"Falls","Fracture of hand bone"
399.474,"Falls","Dislocation of shoulder"
.4632788,"Falls","Amputation of finger (excluding thumb)"
248.8464,"Falls","Fracture of foot bone"
236.2525,"Falls","Other injuries of muscle & tendon and other dislocations"
263.218,"Falls","Internal hemorrhage in abdomen or pelvis"
19.86475,"Falls","Fracture of face bone"
28.72986,"Falls","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands"
141.9901,"Falls","Minor traumatic brain injury"
19.6265,"Falls","Environmental factors (e.g. temperature, pressure, electricity)"
19.88309,"Falls","Dislocation of knee"
21.39124,"Falls","Fracture of sternum or rib(s)"
325.381,"Falls","Spinal cord lesion below neck level"
1452.348,"Falls","Moderate to severe traumatic brain injury"
127.0484,"Falls","Injured nerves"
19.46954,"Falls","Injury to eyes (including foreign body eye)"
3361.822,"Falls","Fracture of patella, tibia, fibula, or ankle"
564.9944,"Falls","Complications of medical treatment"
26.63947,"Falls","Burns with <20% total burned surface area"
696.013,"Falls","Fracture of femur, other than femoral neck"
48.49072,"Falls","Crush injury"
1459.537,"Falls","Open wound"
36.50728,"Falls","Severe chest Injury"
41.90497,"Falls","Dislocation of hip"
315.5485,"Falls","Fracture of skull"
550.8269,"Fire, heat, and hot substances","Burns with <20% total burned surface area"
4.747065,"Fire, heat, and hot substances","Dislocation of hip"
8.505785,"Fire, heat, and hot substances","Injury to eyes (including foreign body eye)"
19.88226,"Fire, heat, and hot substances","Fracture of vertebral column"
3.948274,"Fire, heat, and hot substances","Spinal cord lesion below neck level"
38.19948,"Fire, heat, and hot substances","Moderate to severe traumatic brain injury"
36.54075,"Fire, heat, and hot substances","Fracture of neck of femur"
96.75251,"Fire, heat, and hot substances","Open wound"
5.042284,"Fire, heat, and hot substances","Crush injury"
16.51692,"Fire, heat, and hot substances","Fracture of hand bone"
2.806102,"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus"
.2333201,"Fire, heat, and hot substances","Fracture of sternum or rib(s)"
52.73634,"Fire, heat, and hot substances","Environmental factors (e.g. temperature, pressure, electricity)"
7.220599,"Fire, heat, and hot substances","Spinal cord lesion at neck level"
12.65704,"Fire, heat, and hot substances","Contusion"
1.669507,"Fire, heat, and hot substances","Severe chest Injury"
