value,source,target
1.632255,"Other unintentional injuries","Amputation of both lower limbs"
.9308087,"Collective violence and legal intervention","Amputation of both lower limbs"
.2495355,"Animal contact","Amputation of both lower limbs"
.0031264,"Unintentional firearm injuries","Amputation of both lower limbs"
.0214231,"Venomous animal contact","Amputation of both lower limbs"
205.6167,"Other transport injuries","Amputation of both lower limbs"
.7583009,"Fire, heat, and hot substances","Amputation of both lower limbs"
2.512066,"Motor vehicle road injuries","Amputation of both lower limbs"
.0759522,"Interpersonal violence","Amputation of both lower limbs"
2.999209,"Exposure to mechanical forces","Amputation of both lower limbs"
.3628352,"Self-harm","Amputation of both lower limbs"
4.060692,"Pedestrian road injuries by road vehicle","Amputation of both lower limbs"
2.993752,"Other exposure to mechanical forces","Amputation of both lower limbs"
2.497636,"Falls","Amputation of both lower limbs"
8.424956,"Road injuries","Amputation of both lower limbs"
.2281124,"Non-venomous animal contact","Amputation of both lower limbs"
.0000124,"Assault by sharp object","Amputation of both lower limbs"
.0000128,"Assault by firearm","Amputation of both lower limbs"
.1569521,"Other road injuries","Amputation of both lower limbs"
.9869935,"Drowning","Amputation of both lower limbs"
.075927,"Assault by other means","Amputation of both lower limbs"
.0032423,"Unintentional suffocation","Amputation of both lower limbs"
1.602518,"Motorcyclist road injuries","Amputation of both lower limbs"
.0927293,"Cyclist road injuries","Amputation of both lower limbs"
.1337677,"Unintentional firearm injuries","Dislocation of hip"
1.084714,"Non-venomous animal contact","Dislocation of hip"
.6058782,"Other road injuries","Dislocation of hip"
3.502662,"Collective violence and legal intervention","Dislocation of hip"
.0316054,"Foreign body in other body part","Dislocation of hip"
1.693792,"Animal contact","Dislocation of hip"
.0986577,"Self-harm","Dislocation of hip"
.7745079,"Unintentional suffocation","Dislocation of hip"
.0527077,"Assault by firearm","Dislocation of hip"
.0165952,"Foreign body in eyes","Dislocation of hip"
.2930116,"Assault by sharp object","Dislocation of hip"
1.073673,"Assault by other means","Dislocation of hip"
33.08036,"Other unintentional injuries","Dislocation of hip"
2.353432,"Cyclist road injuries","Dislocation of hip"
.0596456,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
5.727682,"Fire, heat, and hot substances","Dislocation of hip"
12.60561,"Other transport injuries","Dislocation of hip"
.6090785,"Venomous animal contact","Dislocation of hip"
9.700504,"Exposure to mechanical forces","Dislocation of hip"
14.89298,"Motorcyclist road injuries","Dislocation of hip"
.4241698,"Exposure to forces of nature","Dislocation of hip"
.0374388,"Poisonings","Dislocation of hip"
42.75417,"Motor vehicle road injuries","Dislocation of hip"
.9255242,"Drowning","Dislocation of hip"
46.48534,"Falls","Dislocation of hip"
8.819459,"Other exposure to mechanical forces","Dislocation of hip"
1.419392,"Interpersonal violence","Dislocation of hip"
11.95984,"Pedestrian road injuries by road vehicle","Dislocation of hip"
72.56631,"Road injuries","Dislocation of hip"
7.135038,"Motorcyclist road injuries","Dislocation of knee"
.5827261,"Interpersonal violence","Dislocation of knee"
39.18647,"Falls","Dislocation of knee"
17.06521,"Road injuries","Dislocation of knee"
4.66574,"Other unintentional injuries","Dislocation of knee"
1.268507,"Non-venomous animal contact","Dislocation of knee"
3.943308,"Exposure to mechanical forces","Dislocation of knee"
2.622263,"Drowning","Dislocation of knee"
.0459783,"Self-harm","Dislocation of knee"
.1240928,"Unintentional firearm injuries","Dislocation of knee"
.0302319,"Foreign body in other body part","Dislocation of knee"
.3166693,"Assault by other means","Dislocation of knee"
.3107482,"Collective violence and legal intervention","Dislocation of knee"
.1355406,"Exposure to forces of nature","Dislocation of knee"
.4059828,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
2.293756,"Motor vehicle road injuries","Dislocation of knee"
.0000294,"Unintentional suffocation","Dislocation of knee"
.1063617,"Assault by firearm","Dislocation of knee"
3.819211,"Other exposure to mechanical forces","Dislocation of knee"
1.805394,"Animal contact","Dislocation of knee"
6.478616,"Pedestrian road injuries by road vehicle","Dislocation of knee"
2.846493,"Fire, heat, and hot substances","Dislocation of knee"
.1596951,"Assault by sharp object","Dislocation of knee"
1.036186,"Cyclist road injuries","Dislocation of knee"
.048955,"Foreign body in eyes","Dislocation of knee"
.1216124,"Other road injuries","Dislocation of knee"
.0946071,"Poisonings","Dislocation of knee"
2.129974,"Other transport injuries","Dislocation of knee"
.5368866,"Venomous animal contact","Dislocation of knee"
24.28776,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
3.390258,"Exposure to forces of nature","Other injuries of muscle & tendon and other dislocations"
32.43805,"Other unintentional injuries","Other injuries of muscle & tendon and other dislocations"
.2680232,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
5.50035,"Assault by other means","Other injuries of muscle & tendon and other dislocations"
1.775841,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations"
18.68033,"Animal contact","Other injuries of muscle & tendon and other dislocations"
135.9129,"Exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
42.60034,"Pedestrian road injuries by road vehicle","Other injuries of muscle & tendon and other dislocations"
.2279696,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations"
4.145269,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations"
3.641233,"Self-harm","Other injuries of muscle & tendon and other dislocations"
12.90679,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
13.68353,"Interpersonal violence","Other injuries of muscle & tendon and other dislocations"
156.0152,"Road injuries","Other injuries of muscle & tendon and other dislocations"
5.77354,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
134.0053,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
14.74501,"Drowning","Other injuries of muscle & tendon and other dislocations"
16.59585,"Other transport injuries","Other injuries of muscle & tendon and other dislocations"
.5894057,"Poisonings","Other injuries of muscle & tendon and other dislocations"
57.03071,"Motorcyclist road injuries","Other injuries of muscle & tendon and other dislocations"
.8401561,"Assault by firearm","Other injuries of muscle & tendon and other dislocations"
7.343022,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations"
2.377327,"Other road injuries","Other injuries of muscle & tendon and other dislocations"
9.097229,"Collective violence and legal intervention","Other injuries of muscle & tendon and other dislocations"
1.639494,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations"
42.29432,"Motor vehicle road injuries","Other injuries of muscle & tendon and other dislocations"
261.1786,"Falls","Other injuries of muscle & tendon and other dislocations"
11.71244,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations"
17.84691,"Motor vehicle road injuries","Fracture of clavicle, scapula, or humerus"
.1069369,"Poisonings","Fracture of clavicle, scapula, or humerus"
121.5333,"Falls","Fracture of clavicle, scapula, or humerus"
1.415859,"Assault by other means","Fracture of clavicle, scapula, or humerus"
4.744129,"Drowning","Fracture of clavicle, scapula, or humerus"
62.77514,"Road injuries","Fracture of clavicle, scapula, or humerus"
3.503549,"Other unintentional injuries","Fracture of clavicle, scapula, or humerus"
.3991179,"Exposure to forces of nature","Fracture of clavicle, scapula, or humerus"
.2115047,"Self-harm","Fracture of clavicle, scapula, or humerus"
18.60252,"Motorcyclist road injuries","Fracture of clavicle, scapula, or humerus"
.023606,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus"
