value,source,target,sex,year
12.36104,"Non-venomous animal contact","Injury to eyes (including foreign body eye)","female",2013
.896152,"Non-venomous animal contact","Spinal cord lesion at neck level","female",2013
.0558762,"Non-venomous animal contact","Non-fatal submersion","female",2013
5.949653,"Non-venomous animal contact","Fracture of vertebral column","female",2013
2.022116,"Non-venomous animal contact","Fracture of pelvis","female",2013
.7071872,"Non-venomous animal contact","Burns with <20% total burned surface area","female",2013
1.477071,"Non-venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
45.01253,"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle","female",2013
4.365586,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations","female",2013
1.256108,"Non-venomous animal contact","Dislocation of hip","female",2013
.0902865,"Non-venomous animal contact","Amputation of finger (excluding thumb)","female",2013
4.608018,"Non-venomous animal contact","Injured nerves","female",2013
36.51329,"Non-venomous animal contact","Poisoning","female",2013
16.55169,"Non-venomous animal contact","Contusion","female",2013
25.10502,"Non-venomous animal contact","Internal hemorrhage in abdomen or pelvis","female",2013
9.463244,"Non-venomous animal contact","Fracture of hand bone","female",2013
4.694678,"Non-venomous animal contact","Minor traumatic brain injury","female",2013
1236.157,"Non-venomous animal contact","Open wound","female",2013
.1404339,"Non-venomous animal contact","Spinal cord lesion below neck level","female",2013
12.68681,"Non-venomous animal contact","Complications of medical treatment","female",2013
3.850734,"Non-venomous animal contact","Fracture of foot bone","female",2013
2.632815,"Non-venomous animal contact","Fracture of radius or ulna","female",2013
.640321,"Non-venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
1.671115,"Non-venomous animal contact","Crush injury","female",2013
.6953789,"Non-venomous animal contact","Severe chest Injury","female",2013
.8564788,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus","female",2013
6.043339,"Non-venomous animal contact","Fracture of neck of femur","female",2013
12.27534,"Non-venomous animal contact","Moderate to severe traumatic brain injury","female",2013
1.786884,"Non-venomous animal contact","Dislocation of knee","female",2013
9.846281,"Non-venomous animal contact","Fracture of femur, other than femoral neck","female",2013
.7126962,"Non-venomous animal contact","Fracture of face bone","female",2013
2.912277,"Non-venomous animal contact","Fracture of skull","female",2013
.2470172,"Non-venomous animal contact","Fracture of sternum or rib(s)","female",2013
6.334891,"Non-venomous animal contact","Dislocation of shoulder","female",2013
18.4706,"Non-venomous animal contact","Multiple significant injuries","female",2013
1.091955,"Venomous animal contact","Fracture of radius or ulna","female",2013
.1783909,"Venomous animal contact","Fracture of face bone","female",2013
4.964243,"Venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
1.065422,"Venomous animal contact","Fracture of foot bone","female",2013
7.380559,"Venomous animal contact","Fracture of neck of femur","female",2013
2.612228,"Venomous animal contact","Fracture of femur, other than femoral neck","female",2013
.6885942,"Venomous animal contact","Spinal cord lesion below neck level","female",2013
2.346479,"Venomous animal contact","Fracture of hand bone","female",2013
.6754126,"Venomous animal contact","Fracture of vertebral column","female",2013
.1482988,"Venomous animal contact","Non-fatal submersion","female",2013
1.645496,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations","female",2013
37.90784,"Venomous animal contact","Open wound","female",2013
12.92662,"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle","female",2013
.257922,"Venomous animal contact","Severe chest Injury","female",2013
34.17176,"Venomous animal contact","Complications of medical treatment","female",2013
1.267484,"Venomous animal contact","Minor traumatic brain injury","female",2013
645.7753,"Venomous animal contact","Poisoning","female",2013
.6083644,"Venomous animal contact","Fracture of clavicle, scapula, or humerus","female",2013
27.5472,"Venomous animal contact","Internal hemorrhage in abdomen or pelvis","female",2013
.9848608,"Venomous animal contact","Spinal cord lesion at neck level","female",2013
.0042304,"Venomous animal contact","Fracture of sternum or rib(s)","female",2013
1.040123,"Venomous animal contact","Injured nerves","female",2013
.5626912,"Venomous animal contact","Fracture of skull","female",2013
3.274136,"Venomous animal contact","Moderate to severe traumatic brain injury","female",2013
.401527,"Venomous animal contact","Injury to eyes (including foreign body eye)","female",2013
.36368,"Venomous animal contact","Crush injury","female",2013
4.230018,"Venomous animal contact","Fracture of pelvis","female",2013
1.346098,"Venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.1425986,"Venomous animal contact","Dislocation of knee","female",2013
5.296526,"Venomous animal contact","Dislocation of shoulder","female",2013
1.026976,"Venomous animal contact","Contusion","female",2013
.3380983,"Venomous animal contact","Dislocation of hip","female",2013
2.176119,"Venomous animal contact","Burns with <20% total burned surface area","female",2013
.1579673,"Venomous animal contact","Amputation of finger (excluding thumb)","female",2013
25.74596,"Venomous animal contact","Multiple significant injuries","female",2013
2.285579,"Drowning","Dislocation of hip","female",2013
.375842,"Drowning","Severe chest Injury","female",2013
.9366471,"Drowning","Dislocation of knee","female",2013
.4898452,"Drowning","Fracture of face bone","female",2013
3.101628,"Drowning","Burns with <20% total burned surface area","female",2013
1.089267,"Drowning","Crush injury","female",2013
2.80305,"Drowning","Fracture of radius or ulna","female",2013
1.154568,"Drowning","Contusion","female",2013
196.4713,"Drowning","Fracture of neck of femur","female",2013
25.00447,"Drowning","Multiple significant injuries","female",2013
4.516479,"Drowning","Fracture of hand bone","female",2013
96.6405,"Drowning","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
.0330008,"Drowning","Amputation of finger (excluding thumb)","female",2013
10.02804,"Drowning","Spinal cord lesion at neck level","female",2013
7.138657,"Drowning","Injured nerves","female",2013
18.22892,"Drowning","Dislocation of shoulder","female",2013
9.144049,"Drowning","Fracture of pelvis","female",2013
98.31972,"Drowning","Fracture of patella, tibia, fibula, or ankle","female",2013
9.067293,"Drowning","Fracture of foot bone","female",2013
4.059174,"Drowning","Fracture of vertebral column","female",2013
.0734243,"Drowning","Fracture of skull","female",2013
7.723556,"Drowning","Spinal cord lesion below neck level","female",2013
17.16843,"Drowning","Moderate to severe traumatic brain injury","female",2013
74.89779,"Drowning","Complications of medical treatment","female",2013
2.629302,"Drowning","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
74.15557,"Drowning","Non-fatal submersion","female",2013
30.39959,"Drowning","Fracture of femur, other than femoral neck","female",2013
7.909065,"Drowning","Open wound","female",2013
3.785306,"Drowning","Minor traumatic brain injury","female",2013
4.323019,"Drowning","Fracture of clavicle, scapula, or humerus","female",2013
9.540956,"Drowning","Other injuries of muscle & tendon and other dislocations","female",2013
11.35004,"Drowning","Poisoning","female",2013
.3924325,"Drowning","Injury to eyes (including foreign body eye)","female",2013
.0778718,"Drowning","Fracture of sternum or rib(s)","female",2013
8.72179,"Drowning","Internal hemorrhage in abdomen or pelvis","female",2013
1006.913,"Falls","Multiple significant injuries","female",2013
18.41311,"Falls","Burns with <20% total burned surface area","female",2013
162.1481,"Falls","Spinal cord lesion at neck level","female",2013
150.4489,"Falls","Fracture of skull","female",2013
16.50551,"Falls","Dislocation of knee","female",2013
22.45452,"Falls","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
242.6339,"Falls","Contusion","female",2013
1298.875,"Falls","Fracture of neck of femur","female",2013
1.626047,"Falls","Non-fatal submersion","female",2013
493.1086,"Falls","Complications of medical treatment","female",2013
184.6212,"Falls","Fracture of hand bone","female",2013
39.60419,"Falls","Poisoning","female",2013
800.4974,"Falls","Moderate to severe traumatic brain injury","female",2013
24.69671,"Falls","Crush injury","female",2013
961.7224,"Falls","Open wound","female",2013
595.5707,"Falls","Fracture of femur, other than femoral neck","female",2013
734.2094,"Falls","Fracture of radius or ulna","female",2013
11.61801,"Falls","Fracture of sternum or rib(s)","female",2013
10.96187,"Falls","Fracture of face bone","female",2013
197.0235,"Falls","Dislocation of shoulder","female",2013
.2541323,"Falls","Amputation of finger (excluding thumb)","female",2013
141.0672,"Falls","Fracture of foot bone","female",2013
156.2431,"Falls","Spinal cord lesion below neck level","female",2013
36.0947,"Falls","Dislocation of hip","female",2013
793.4575,"Falls","Fracture of vertebral column","female",2013
105.0303,"Falls","Fracture of clavicle, scapula, or humerus","female",2013
22.85633,"Falls","Severe chest Injury","female",2013
106.526,"Falls","Minor traumatic brain injury","female",2013
160.1211,"Falls","Other injuries of muscle & tendon and other dislocations","female",2013
13.29952,"Falls","Injury to eyes (including foreign body eye)","female",2013
170.1871,"Falls","Fracture of pelvis","female",2013
3140.57,"Falls","Fracture of patella, tibia, fibula, or ankle","female",2013
87.93872,"Falls","Injured nerves","female",2013
9.997184,"Falls","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
118.6025,"Falls","Internal hemorrhage in abdomen or pelvis","female",2013
394.5396,"Fire, heat, and hot substances","Internal hemorrhage in abdomen or pelvis","female",2013
.7875021,"Fire, heat, and hot substances","Dislocation of knee","female",2013
.1891566,"Fire, heat, and hot substances","Fracture of sternum or rib(s)","female",2013
5.598248,"Fire, heat, and hot substances","Fracture of radius or ulna","female",2013
984.0075,"Fire, heat, and hot substances","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2013
4.183326,"Fire, heat, and hot substances","Dislocation of hip","female",2013
1.467208,"Fire, heat, and hot substances","Severe chest Injury","female",2013
14.89707,"Fire, heat, and hot substances","Fracture of pelvis","female",2013
58.37381,"Fire, heat, and hot substances","Fracture of neck of femur","female",2013
10.38807,"Fire, heat, and hot substances","Fracture of foot bone","female",2013
82.24509,"Fire, heat, and hot substances","Open wound","female",2013
11.56098,"Fire, heat, and hot substances","Contusion","female",2013
3.494676,"Fire, heat, and hot substances","Spinal cord lesion below neck level","female",2013
20.496,"Fire, heat, and hot substances","Fracture of vertebral column","female",2013
5.724685,"Fire, heat, and hot substances","Spinal cord lesion at neck level","female",2013
.1727064,"Fire, heat, and hot substances","Amputation of finger (excluding thumb)","female",2013
1.762759,"Fire, heat, and hot substances","Fracture of face bone","female",2013
14.25249,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations","female",2013
8.54684,"Fire, heat, and hot substances","Minor traumatic brain injury","female",2013
70.27273,"Fire, heat, and hot substances","Multiple significant injuries","female",2013
201.1397,"Fire, heat, and hot substances","Complications of medical treatment","female",2013
31.29799,"Fire, heat, and hot substances","Moderate to severe traumatic brain injury","female",2013
2.91512,"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus","female",2013
33.10189,"Fire, heat, and hot substances","Dislocation of shoulder","female",2013
66.31068,"Fire, heat, and hot substances","Environmental factors (e.g. temperature, pressure, electricity)","female",2013
4.483475,"Fire, heat, and hot substances","Crush injury","female",2013
11.92412,"Fire, heat, and hot substances","Fracture of hand bone","female",2013
191.4017,"Fire, heat, and hot substances","Poisoning","female",2013
2.428216,"Fire, heat, and hot substances","Fracture of skull","female",2013
32.58213,"Fire, heat, and hot substances","Fracture of femur, other than femoral neck","female",2013
81.93327,"Fire, heat, and hot substances","Fracture of patella, tibia, fibula, or ankle","female",2013
8.040006,"Fire, heat, and hot substances","Injured nerves","female",2013
593.3171,"Fire, heat, and hot substances","Burns with <20% total burned surface area","female",2013
.4902578,"Fire, heat, and hot substances","Non-fatal submersion","female",2013
