value,source,target,sex,year,id
5332.278,"Adverse effects of medical treatment","Complications of medical treatment","female",1990,"inj_medical1"
5988.711,"Adverse effects of medical treatment","Complications of medical treatment","female",1995,"inj_medical1"
6689.07,"Adverse effects of medical treatment","Complications of medical treatment","female",2000,"inj_medical1"
7326.592,"Adverse effects of medical treatment","Complications of medical treatment","female",2005,"inj_medical1"
7960.886,"Adverse effects of medical treatment","Complications of medical treatment","female",2010,"inj_medical1"
8017.381,"Adverse effects of medical treatment","Complications of medical treatment","female",2013,"inj_medical1"
5637.302,"Adverse effects of medical treatment","Complications of medical treatment","male",1990,"inj_medical1"
6314.978,"Adverse effects of medical treatment","Complications of medical treatment","male",1995,"inj_medical1"
6691.537,"Adverse effects of medical treatment","Complications of medical treatment","male",2000,"inj_medical1"
7342.4,"Adverse effects of medical treatment","Complications of medical treatment","male",2005,"inj_medical1"
7951.388,"Adverse effects of medical treatment","Complications of medical treatment","male",2010,"inj_medical1"
8100.907,"Adverse effects of medical treatment","Complications of medical treatment","male",2013,"inj_medical1"
7.592416,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","female",1990,"inj_homicide_gun1"
.0131373,"Assault by firearm","Amputation of finger (excluding thumb)","female",1990,"inj_homicide_gun2"
10.02322,"Assault by firearm","Spinal cord lesion below neck level","female",1990,"inj_homicide_gun3"
.0985707,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","female",1990,"inj_homicide_gun4"
3.898722,"Assault by firearm","Spinal cord lesion at neck level","female",1990,"inj_homicide_gun5"
.7333877,"Assault by firearm","Injured nerves","female",1990,"inj_homicide_gun6"
2.191559,"Assault by firearm","Contusion","female",1990,"inj_homicide_gun7"
.8099633,"Assault by firearm","Minor traumatic brain injury","female",1990,"inj_homicide_gun8"
2.444628,"Assault by firearm","Fracture of femur, other than femoral neck","female",1990,"inj_homicide_gun9"
.1527067,"Assault by firearm","Fracture of clavicle, scapula, or humerus","female",1990,"inj_homicide_gun10"
.0886218,"Assault by firearm","Dislocation of shoulder","female",1990,"inj_homicide_gun11"
.035144,"Assault by firearm","Dislocation of hip","female",1990,"inj_homicide_gun12"
.2775681,"Assault by firearm","Fracture of radius or ulna","female",1990,"inj_homicide_gun13"
.9800904,"Assault by firearm","Fracture of hand bone","female",1990,"inj_homicide_gun14"
15.162,"Assault by firearm","Open wound","female",1990,"inj_homicide_gun15"
.0386686,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",1990,"inj_homicide_gun16"
9.02459,"Assault by firearm","Fracture of vertebral column","female",1990,"inj_homicide_gun17"
.3101362,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","female",1990,"inj_homicide_gun18"
13.1833,"Assault by firearm","Poisoning","female",1990,"inj_homicide_gun19"
5.408263,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","female",1990,"inj_homicide_gun20"
.0894152,"Assault by firearm","Crush injury","female",1990,"inj_homicide_gun21"
.3017309,"Assault by firearm","Injury to eyes (including foreign body eye)","female",1990,"inj_homicide_gun22"
.0699488,"Assault by firearm","Fracture of face bone","female",1990,"inj_homicide_gun23"
1.664181,"Assault by firearm","Fracture of skull","female",1990,"inj_homicide_gun24"
.6650653,"Assault by firearm","Fracture of foot bone","female",1990,"inj_homicide_gun25"
.0020104,"Assault by firearm","Fracture of sternum or rib(s)","female",1990,"inj_homicide_gun26"
2.878177,"Assault by firearm","Fracture of neck of femur","female",1990,"inj_homicide_gun27"
2.997075,"Assault by firearm","Fracture of pelvis","female",1990,"inj_homicide_gun28"
.4317875,"Assault by firearm","Severe chest Injury","female",1990,"inj_homicide_gun29"
2.180896,"Assault by firearm","Complications of medical treatment","female",1990,"inj_homicide_gun30"
.173662,"Assault by firearm","Burns with <20% total burned surface area","female",1990,"inj_homicide_gun31"
.032154,"Assault by firearm","Dislocation of knee","female",1990,"inj_homicide_gun32"
3.916869,"Assault by firearm","Multiple significant injuries","female",1990,"inj_homicide_gun33"
2.361765,"Assault by firearm","Moderate to severe traumatic brain injury","female",1990,"inj_homicide_gun34"
.0014095,"Assault by firearm","Non-fatal submersion","female",1990,"inj_homicide_gun35"
.4254847,"Assault by firearm","Injury to eyes (including foreign body eye)","female",1995,"inj_homicide_gun1"
12.09053,"Assault by firearm","Fracture of vertebral column","female",1995,"inj_homicide_gun2"
