source,target,value
"inj_mech_suffocate","Amputation of both lower limbs",.0000121
"inj_homicide_knife","Amputation of both lower limbs",.0000455
"inj_mech_other","Amputation of both lower limbs",.0012833
"inj_trans_road_pedest","Amputation of both lower limbs",.0257601
"inj_trans_road_pedal","Amputation of both lower limbs",.000348
"inj_homicide_other","Amputation of both lower limbs",.0000682
"inj_trans_road_2wheel","Amputation of both lower limbs",.0019827
"inj_othunintent","Amputation of both lower limbs",.0012916
"inj_animal_nonven","Amputation of both lower limbs",.0001005
"inj_fires","Amputation of both lower limbs",.0006753
"inj_falls","Amputation of both lower limbs",.0013328
"inj_suicide","Amputation of both lower limbs",.0003585
"inj_mech_gun","Amputation of both lower limbs",.0000121
"inj_trans_road_other","Amputation of both lower limbs",.0008644
"inj_drowning","Amputation of both lower limbs",.0005429
"inj_trans_road_4wheel","Amputation of both lower limbs",.0049887
"inj_trans_other","Amputation of both lower limbs",.1104606
"inj_homicide_gun","Amputation of both lower limbs",1.80e-06
"inj_animal_venom","Amputation of both lower limbs",9.13e-06
"inj_trans_road_pedal","Lower airway burns",.0022199
"inj_foreign_eye","Lower airway burns",.0001323
"inj_mech_suffocate","Lower airway burns",1.29e-06
"inj_falls","Lower airway burns",.018716
"inj_trans_road_2wheel","Lower airway burns",.0018129
"inj_poisoning","Lower airway burns",.0135314
"inj_homicide_gun","Lower airway burns",.0000791
"inj_trans_other","Lower airway burns",.0111701
"inj_fires","Lower airway burns",.2590551
"inj_animal_nonven","Lower airway burns",.0001374
"inj_mech_other","Lower airway burns",.0032013
"inj_suicide","Lower airway burns",.0013704
"inj_animal_venom","Lower airway burns",.0002123
"inj_drowning","Lower airway burns",.0005198
"inj_foreign_other","Lower airway burns",.007879
"inj_foreign_aspiration","Lower airway burns",.0015064
"inj_homicide_other","Lower airway burns",.0014828
"inj_trans_road_other","Lower airway burns",5.13e-06
"inj_mech_gun","Lower airway burns",.0005333
"inj_trans_road_pedest","Lower airway burns",.0041294
"inj_trans_road_4wheel","Lower airway burns",.003238
"inj_othunintent","Lower airway burns",.0122391
"inj_homicide_knife","Lower airway burns",.0000881
"inj_mech_suffocate","Dislocation of hip",.0543235
"inj_trans_other","Dislocation of hip",.2662374
"inj_foreign_aspiration","Dislocation of hip",.0061524
"inj_drowning","Dislocation of hip",.0437891
"inj_othunintent","Dislocation of hip",2.48657
"inj_trans_road_4wheel","Dislocation of hip",1.90142
"inj_suicide","Dislocation of hip",.005219
"inj_fires","Dislocation of hip",.1139027
"inj_trans_road_2wheel","Dislocation of hip",.3271864
"inj_animal_venom","Dislocation of hip",.006261
"inj_homicide_knife","Dislocation of hip",.0056894
"inj_mech_gun","Dislocation of hip",.0058048
"inj_animal_nonven","Dislocation of hip",.0380143
"inj_homicide_gun","Dislocation of hip",.0020962
"inj_homicide_other","Dislocation of hip",.0154733
"inj_falls","Dislocation of hip",2.834761
"inj_trans_road_pedest","Dislocation of hip",.6664373
"inj_foreign_eye","Dislocation of hip",.0003706
"inj_trans_road_pedal","Dislocation of hip",.1970136
"inj_mech_other","Dislocation of hip",.1157207
"inj_foreign_other","Dislocation of hip",.0054006
"inj_poisoning","Dislocation of hip",.0040923
"inj_trans_road_other","Dislocation of hip",.0357486
"inj_trans_road_pedest","Dislocation of knee",.3308249
"inj_foreign_aspiration","Dislocation of knee",.0990542
"inj_othunintent","Dislocation of knee",.4511209
"inj_trans_road_pedal","Dislocation of knee",.1775677
"inj_suicide","Dislocation of knee",.0049296
"inj_trans_road_other","Dislocation of knee",.022734
"inj_trans_other","Dislocation of knee",1.956119
"inj_fires","Dislocation of knee",.0884684
"inj_mech_gun","Dislocation of knee",.014609
"inj_animal_nonven","Dislocation of knee",.2429025
"inj_homicide_gun","Dislocation of knee",.0027397
"inj_mech_suffocate","Dislocation of knee",.0000306
"inj_poisoning","Dislocation of knee",.0405584
"inj_drowning","Dislocation of knee",.0748092
"inj_foreign_other","Dislocation of knee",.0032345
"inj_homicide_other","Dislocation of knee",.0121306
"inj_trans_road_4wheel","Dislocation of knee",.277007
"inj_homicide_knife","Dislocation of knee",.0047678
"inj_foreign_eye","Dislocation of knee",.0100802
"inj_trans_road_2wheel","Dislocation of knee",.238294
"inj_mech_other","Dislocation of knee",.0650503
"inj_animal_venom","Dislocation of knee",.0174206
"inj_falls","Dislocation of knee",1.300651
"inj_mech_suffocate","Dislocation of shoulder",.209898
"inj_foreign_other","Dislocation of shoulder",.0025772
"inj_foreign_aspiration","Dislocation of shoulder",.0942131
"inj_falls","Dislocation of shoulder",12.3567
"inj_trans_road_4wheel","Dislocation of shoulder",.8781886
"inj_othunintent","Dislocation of shoulder",29.55144
"inj_trans_road_2wheel","Dislocation of shoulder",1.400907
"inj_trans_road_pedal","Dislocation of shoulder",1.894398
"inj_homicide_knife","Dislocation of shoulder",.0093693
"inj_homicide_gun","Dislocation of shoulder",.0007903
